id	label
1	heart rate
2	scr
3	sleep
4	conditioning
5	autonomic
6	cardiac
7	eeg
8	reaction time
9	human
10	eye movement
11	function
12	level
13	orienting response
14	skin resistance
15	electrodermal
16	feedback
17	recording
18	habituation
19	stimulus
20	differential
21	pattern
22	skin potential
23	auditory
24	cognition
25	control
26	evoked
27	performance
28	signal
29	arousal
30	child
31	skin conductance
32	visual
33	detection
34	interval
35	method
36	period
37	potential
38	rat
39	alpha
40	behavior
41	component
42	cortex
43	rate
44	sensory
45	spontaneous
46	technique
47	latency
48	normal
49	respiratory
50	average
