id	label	x	y	cluster	weight<Links>	weight<Total link strength>
1	erp	0.6296	-0.0894	2	44	186
2	emotion	-0.161	-0.0636	3	42	138
3	neural	-0.4149	0.2356	3	44	166
4	behavior	-0.0638	0.3504	3	41	116
5	eeg	0.674	0.3351	2	39	93
6	attention	0.8566	0.2167	2	36	102
7	electrophysiological	0.6082	0.6602	2	30	70
8	adult	-0.696	-0.1338	3	38	89
9	memory	0.5625	0.2056	3	36	87
10	perception	-0.0089	-0.1243	1	40	86
11	visual	0.9	-0.0467	4	34	97
12	brain	0.4189	-0.2739	4	37	70
13	cognition	-0.6692	0.0833	1	34	56
14	learning	-0.3093	0.665	1	28	62
15	affect	-0.2575	0.1366	1	38	74
16	threat	-0.4469	-0.2477	1	31	65
17	stress	-1.0568	-0.081	1	27	47
18	adolescent	-0.9535	-0.3208	3	29	70
19	context	-0.0934	0.7889	1	33	68
20	cardiovascular	-0.8013	-0.2777	1	25	43
21	depression	-0.5072	-0.7074	3	30	68
22	social	-0.7804	0.5485	1	27	70
23	auditory	1.2166	-0.0278	2	24	41
24	reduce	-0.1578	-0.7728	3	33	62
25	increase	-0.4199	-0.7575	3	27	46
26	p300	0.8025	-0.5706	2	23	40
27	pain	-0.6853	0.3598	1	21	33
28	reward	-0.244	0.3949	3	29	63
29	child	-0.4416	-0.0834	3	22	43
30	dynamic	0.0957	-0.5472	4	25	42
31	impact	-0.2081	-0.2918	1	37	60
32	human	0.7166	0.0265	2	27	44
33	anxiety	-0.3384	-0.8562	3	28	49
34	feedback	-0.2557	1.0909	1	27	62
35	fear	-0.2143	-0.5493	1	23	42
36	model	0.422	-0.5149	2	26	41
37	oscillations	0.4369	0.64	4	24	50
38	startle	0.1887	-0.3148	1	24	37
39	anticipation	0.2508	0.258	4	27	54
40	component	1.2096	0.2434	2	17	33
41	cardiac	-0.8467	0.4354	1	24	33
42	heart rate variability	-0.8905	-0.4361	1	20	25
43	inhibition	0.5708	0.4823	2	19	26
44	performance	0.0763	0.1215	2	30	44
45	cortex	0.0593	0.5554	4	25	38
46	detection	1.0732	-0.7871	2	15	25
47	interaction	-0.5393	0.7155	1	31	50
48	index	0.1788	0.8017	2	26	46
49	control	0.1935	-0.6122	2	29	45
50	individual	0.3206	-0.8633	2	20	31
