id	label	x	y	cluster	weight<Links>	weight<Total link strength>
1	erp	-0.5082	0.2827	3	28	74
2	cardiovascular	1.231	0.0262	5	22	77
3	sleep	-0.1595	-0.3936	1	16	27
4	p300	-0.6575	-0.1532	4	15	22
5	behavior	0.7564	-0.2911	1	23	45
6	heart rate	0.4439	-0.0552	2	25	41
7	blood pressure	0.5693	-0.1284	2	14	21
8	stress	1.4442	-0.056	5	13	38
9	human	-0.1598	0.0523	1	16	24
10	stimulus	-0.9273	-0.1893	4	9	17
11	function	0.1933	0.0601	2	17	20
12	attention	-0.7892	0.3173	3	10	21
13	detection	-0.4883	-0.0909	1	14	18
14	cardiac	0.0197	-0.2487	3	12	16
15	component	0.2461	0.6849	5	9	20
16	eeg	-0.195	-0.0846	1	16	24
17	method	-0.0683	-0.3172	1	13	14
18	visual	-0.7925	-0.1404	3	12	19
19	cognition	0.7292	0.5701	5	9	14
20	autonomic	0.1848	0.5103	6	15	19
21	electrodermal	-0.9355	-0.2595	4	10	17
22	performance	-0.852	-0.3308	4	13	19
23	recording	-0.3128	-0.0458	1	13	16
24	auditory	-0.926	0.2683	3	10	20
25	facial	-0.2855	0.6874	6	8	13
26	hypertension	1.6684	-0.0781	5	8	25
27	individual differences	0.2722	0.1583	3	12	14
28	latency	-0.9454	-0.3823	4	10	18
29	pattern	1.319	0.1205	5	9	15
30	emotion	-0.3582	0.8125	6	6	10
31	exercise	1.0066	-0.3188	2	9	16
32	habituation	-1.0838	-0.393	4	10	15
33	normal	0.0233	-0.401	1	16	20
34	type a	1.0933	0.2112	2	10	19
35	anxiety	0.0916	0.0017	2	10	13
36	conditioning	-0.279	0.5723	6	8	13
37	emg	-0.4246	0.5897	6	8	11
38	evaluation	-0.173	0.1185	4	13	15
39	mental arithmetic	0.8195	-0.0572	2	11	19
40	monitoring	-0.4697	-0.5876	1	15	15
41	patients	-0.7683	-0.3174	3	9	11
42	perception	0.1489	0.1711	3	10	12
43	reaction time	0.6239	0.1551	2	8	10
44	rem	-0.5793	-0.6611	1	5	5
45	respiratory	0.5161	-0.6566	1	8	13
46	rsa	0.426	-0.5182	1	10	11
47	selective attention	-0.8023	0.661	3	4	9
48	tone	0.3177	-0.425	1	11	15
49	change	0.3072	-0.0665	2	14	16
50	lateral	-0.5107	0.6157	6	8	10
