id	label
1	heart rate
2	sleep
3	conditioning
4	eeg
5	scr
6	autonomic
7	function
8	cardiac
9	feedback
10	electrodermal
11	habituation
12	human
13	stimulus
14	orienting response
15	recording
16	control
17	performance
18	reaction time
19	blood pressure
20	visual
21	auditory
22	cardiovascular
23	evoked
24	level
25	pattern
26	biofeedback
27	cognition
28	detection
29	skin conductance
30	evoked potential
31	behavior
32	child
33	perception
34	respiratory
35	stress
36	component
37	rat
38	rem
39	arousal
40	cortex
41	eye movement
42	interval
43	technique
44	alpha
45	differential
46	method
47	period
48	signal
49	skin resistance
50	anxiety
