id	label	x	y	cluster	weight<Links>	weight<Total link strength>
1	erp	-0.2499	-0.1857	1	38	123
2	cardiovascular	0.5987	0.0794	3	17	24
3	attention	0.0232	-0.0185	2	29	56
4	p300	-1.1617	-0.139	5	18	42
5	human	0.3462	0.0208	1	24	32
6	heart rate	0.9495	-0.2088	3	19	33
7	memory	-0.1559	-0.4421	1	23	47
8	visual	-0.7466	-0.0649	1	22	45
9	scene	-1.1533	-0.3804	5	18	40
10	auditory	-0.0431	-0.3343	1	27	50
11	startle	0.1933	0.5312	4	18	33
12	emotion	0.0831	0.6325	4	17	26
13	eeg	-0.2135	0.211	2	13	17
14	child	0.265	0.0374	2	25	33
15	electrophysiological	-0.3801	-0.0273	1	13	18
16	stimulus	-0.025	-0.7441	5	15	22
17	autonomic	0.9493	-0.1122	3	15	23
18	brain	-0.4862	0.6455	4	15	25
19	index	-0.2583	-0.5418	1	18	29
20	affect	-0.428	0.7425	4	15	23
21	blood pressure	1.0801	0.3857	3	7	14
22	method	-0.2334	0.4002	1	9	10
23	mmn	0.192	-0.0767	1	13	19
24	perception	-0.2647	0.6683	4	17	21
25	stress	0.9376	0.2792	3	13	22
26	development	0.1854	-0.6279	2	16	21
27	pattern	0.5188	-0.1017	3	18	30
28	sleep	0.3626	-0.422	2	9	9
29	behavior	0.4341	0.3758	3	19	24
30	patients	-0.8106	-0.198	5	16	25
31	adult	-0.3219	-0.7573	2	13	23
32	control	0.7958	0.4067	3	12	20
33	amplitude	-1.527	-0.2497	5	10	20
34	anticipation	-0.6958	-0.3122	5	15	20
35	cardiac	0.9464	-0.5616	3	11	12
36	context	0.2135	-0.2292	4	11	18
37	difference	0.1406	0.3701	2	12	17
38	individual	0.4403	-0.7955	2	11	12
39	probe	-0.0099	0.9977	4	13	22
40	respiratory	1.2422	-0.469	3	6	11
41	signal	0.4815	0.4989	1	7	8
42	temporal	0.6862	-0.3567	1	11	17
43	word	-0.6214	0.118	2	12	16
44	age	0.5898	-0.592	2	10	12
45	complex	-0.6808	0.4857	4	11	18
46	detection	-0.1322	0.4179	1	12	15
47	normal	-0.026	0.1444	2	17	20
48	pain	-0.4352	0.0537	2	11	12
49	saccade	-1.4828	-0.4487	5	7	14
50	activation	-0.1119	0.8948	4	10	13
