id	label	x	y	cluster	weight<Links>	weight<Total link strength>
1	heart rate	-0.3269	-0.1675	2	41	154
2	sleep	-0.4522	0.5334	4	28	71
3	conditioning	0.3822	-0.3475	3	32	85
4	eeg	-0.5901	0.3931	4	27	71
5	scr	0.6997	-0.4827	3	26	62
6	autonomic	0.0511	-0.1567	3	28	53
7	function	0.2845	0.0073	1	38	98
8	cardiac	0.1817	0.1563	1	31	65
9	feedback	-0.7824	-0.5613	2	24	77
10	electrodermal	0.5039	-0.1835	3	26	48
11	habituation	1.083	-0.4833	3	19	56
12	human	0.068	0.3731	1	26	42
13	stimulus	1.2214	-0.2206	3	20	53
14	orienting response	1.1887	-0.5627	3	18	44
15	recording	-0.7435	0.5234	4	20	44
16	control	-0.6443	-0.5855	2	22	56
17	performance	-0.2318	0.1109	1	26	54
18	reaction time	0.0336	0.4292	1	24	51
19	blood pressure	-0.9668	-0.3384	2	19	36
20	visual	0.6269	0.4675	5	26	52
21	auditory	0.6343	0.0896	5	29	48
22	cardiovascular	-0.3287	-0.5081	2	18	33
23	evoked	0.9478	0.4948	5	15	30
24	level	-0.2182	-0.1035	1	22	37
25	pattern	-0.806	0.292	4	21	36
26	biofeedback	-0.8139	-0.3667	2	22	38
27	cognition	-0.1766	0.3371	4	19	31
28	detection	-0.0675	-0.373	3	20	30
29	skin conductance	-0.3171	0.2388	1	15	29
30	evoked potential	1.2582	0.2244	5	14	25
31	behavior	0.2492	-0.1601	5	25	35
32	child	0.7044	0.307	5	19	30
33	perception	0.5329	0.5785	5	18	28
34	respiratory	-0.3421	-0.5908	2	23	37
35	stress	-0.3567	-0.2901	2	20	36
36	component	0.6161	-0.6291	3	18	33
37	rat	-0.6987	-0.7437	2	12	26
38	rem	-0.3417	0.9633	4	10	16
39	arousal	0.143	-0.3943	1	19	30
40	cortex	1.296	0.3483	5	15	32
41	eye movement	-0.6534	0.6809	4	16	34
42	interval	0.1434	0.3035	1	18	32
43	technique	-0.9477	-0.2136	2	18	28
44	alpha	-0.95	-0.4649	2	12	24
45	differential	0.5567	-0.1546	3	22	36
46	method	-0.7596	0.3825	4	19	26
47	period	-0.0224	0.8518	4	21	38
48	signal	0.0702	0.0264	1	20	29
49	skin resistance	-0.8431	0.5773	4	9	14
50	anxiety	-0.0955	-0.608	1	14	21
