id	label	x	y	cluster	weight<Links>	weight<Total link strength>
1	erp	-0.534	-0.352	2	38	180
2	cardiovascular	1.2124	-0.1433	4	24	89
3	p300	-0.7794	0.511	3	28	80
4	heart rate	0.5513	0.1041	4	28	59
5	attention	-0.5413	-0.2666	2	27	73
6	human	0.0903	0.1939	1	30	57
7	sleep	0.1948	-0.0235	1	19	34
8	visual	-0.6511	-0.6317	2	24	57
9	behavior	0.8522	-0.3172	4	31	64
10	eeg	0.2138	0.1497	1	21	36
11	auditory	-0.9188	-0.5675	2	26	66
12	blood pressure	1.0886	-0.1391	4	14	30
13	stimulus	-0.6458	0.2617	3	23	43
14	memory	-0.5803	-0.583	2	22	49
15	stress	1.5122	-0.2504	4	16	58
16	emotion	0.5217	0.4624	1	20	37
17	scene	-0.9439	-0.133	5	19	41
18	autonomic	0.6389	0.2226	1	22	40
19	method	-0.1722	0.3644	3	18	28
20	startle	0.4464	0.5255	1	17	31
21	cardiac	0.0276	-0.5133	5	18	26
22	detection	-0.6016	-0.0932	2	18	29
23	function	0.1005	-0.1822	1	26	33
24	child	-0.2281	-0.4742	2	23	37
25	index	-0.5122	0.1946	3	26	45
26	pattern	0.5617	-0.6985	5	22	41
27	perception	0.32	-0.2594	1	19	27
28	affect	0.3534	0.4498	1	19	29
29	cognition	0.534	0.0231	4	18	29
30	component	-0.1292	-0.0478	4	18	34
31	electrophysiological	-0.437	-0.4164	2	14	20
32	patients	-0.8966	-0.4305	5	16	33
33	recording	0.1258	0.3339	1	15	24
34	electrodermal	-0.1448	0.5649	1	14	20
35	facial	0.5409	0.6674	1	12	21
36	hypertension	1.8316	-0.269	4	8	34
37	normal	0.1026	-0.5391	5	22	37
38	respiratory	0.536	-0.5055	5	11	19
39	adult	-0.6956	-0.1549	2	20	37
40	brain	-0.1214	-0.82	5	13	23
41	development	-0.7419	-0.2535	2	16	25
42	performance	-0.2643	0.3324	1	15	24
43	evaluation	-0.0571	0.5844	3	15	25
44	individual differences	0.5643	-0.0805	1	18	25
45	latency	-0.5948	0.7921	3	15	34
46	amplitude	-0.7693	0.7714	3	15	31
47	conditioning	0.4848	0.7201	1	10	23
48	mmn	-0.7723	-0.4368	2	13	21
49	reaction time	-0.4337	0.9075	3	10	16
50	anticipation	-0.2393	0.445	3	16	24
