id	label
1	erp
2	emotion
3	neural
4	behavior
5	eeg
6	attention
7	electrophysiological
8	adult
9	memory
10	perception
11	visual
12	brain
13	cognition
14	learning
15	affect
16	threat
17	stress
18	adolescent
19	context
20	cardiovascular
21	depression
22	social
23	auditory
24	reduce
25	increase
26	p300
27	pain
28	reward
29	child
30	dynamic
31	impact
32	human
33	anxiety
34	feedback
35	fear
36	model
37	oscillations
38	startle
39	anticipation
40	component
41	cardiac
42	heart rate variability
43	inhibition
44	performance
45	cortex
46	detection
47	interaction
48	index
49	control
50	individual
