id	label	x	y	cluster	weight<Links>	weight<Total link strength>
1	erp	0.632	-0.1229	2	47	367
2	emotion	-0.0005	0.6039	3	43	202
3	neural	0.141	0.1417	4	48	214
4	attention	0.7856	-0.0069	2	42	195
5	electrophysiological	0.4719	-0.3144	2	39	124
6	behavior	0.0954	-0.5086	2	44	159
7	eeg	0.4523	-0.1196	2	38	106
8	perception	0.2163	0.6126	4	40	128
9	visual	0.7797	-0.42	2	38	144
10	memory	0.5036	-0.5326	2	42	133
11	auditory	1.3163	0.0619	2	31	98
12	adult	-0.8589	-0.1673	3	41	125
13	cardiovascular	-0.982	0.3949	1	28	70
14	stress	-1.1273	0.2481	1	28	71
15	cognition	-0.4465	0.623	1	39	99
16	p300	0.5543	-0.7971	2	29	84
17	brain	0.0595	-0.3437	3	40	81
18	affect	-0.1676	0.5914	1	39	95
19	threat	-0.0656	0.3354	4	36	87
20	adolescent	-1.0054	-0.2557	3	32	106
21	learning	-0.4295	-0.5202	1	28	68
22	context	0.4131	0.7768	4	34	90
23	depression	-0.7354	-0.467	3	34	89
24	startle	0.5726	0.216	3	25	59
25	increase	-0.4445	-0.1067	3	35	77
26	human	0.8598	0.2049	2	32	71
27	reduce	-0.3956	-0.6608	3	33	80
28	child	-0.6518	-0.6157	3	33	79
29	detection	0.9356	-0.8845	2	21	58
30	impact	-0.5303	0.1656	1	37	83
31	social	-0.1986	0.9468	4	32	81
32	component	1.1447	-0.4875	2	20	54
33	error	-0.5242	-0.9535	1	24	48
34	performance	-0.5414	-0.4057	1	39	82
35	cardiac	-0.7203	0.5061	1	31	51
36	fear	-0.0484	-0.1044	3	26	63
37	anxiety	-0.5426	-0.2539	3	32	65
38	scene	0.924	0.723	4	24	57
39	cortex	-0.3422	0.2088	1	28	62
40	cue	0.7288	0.654	4	27	59
41	inhibition	0.3703	-0.1844	2	28	49
42	time	0.0938	0.7644	4	31	51
43	function	-0.5516	0.4439	1	30	63
44	dynamic	-0.2633	0.121	1	31	60
45	mechanism	0.4567	0.5471	4	29	58
46	model	0.0872	0.3569	1	33	59
47	pain	-0.5172	0.3038	1	28	43
48	reward	-0.1041	-0.7042	3	31	72
49	control	-0.2645	-0.0791	1	34	75
50	motor	-0.1351	-0.5355	1	34	68
