id	label	x	y	cluster	weight<Links>	weight<Total link strength>
1	heart rate	-0.4577	-0.1617	5	28	89
2	sleep	-0.1216	-0.3541	2	23	35
3	eeg	-0.5336	0.1823	2	22	41
4	feedback	-0.5416	0.6483	4	23	57
5	function	0.1334	-0.2392	1	35	66
6	electrodermal	0.3036	0.1048	3	23	43
7	autonomic	-0.1257	0.3077	4	22	30
8	cardiac	-0.4234	-0.3545	2	20	30
9	conditioning	-0.2688	-0.1871	5	20	42
10	habituation	1.0246	0.3021	3	17	41
11	blood pressure	-0.9205	0.3619	4	17	34
12	biofeedback	-1.0439	0.4186	4	17	32
13	cardiovascular	-0.6328	-0.1389	5	18	33
14	stimulus	0.9976	0.5304	3	16	32
15	control	-0.5201	0.4618	4	15	35
16	performance	-0.4321	-0.2298	2	22	36
17	recording	-0.1108	0.0066	2	15	23
18	evoked potential	0.893	-0.4023	1	15	23
19	orienting response	0.9274	0.4039	3	18	33
20	visual	0.2629	-0.1939	1	21	31
21	auditory	0.672	-0.0465	1	21	30
22	human	-0.1842	-0.4092	2	16	25
23	erp	0.7506	0.067	1	9	12
24	scr	0.648	0.5529	3	13	22
25	stress	-0.5735	-0.0528	4	19	32
26	evoked	0.8781	-0.3	1	13	21
27	perception	0.5185	-0.5767	1	13	17
28	detection	0.2862	0.6365	3	11	14
29	reaction time	-0.1812	-0.778	5	12	24
30	rem	-0.5902	-0.6171	2	5	5
31	respiratory	-0.8849	0.1521	4	17	26
32	behavior	0.3669	-0.3778	1	18	22
33	pattern	-1.159	0.1276	2	13	15
34	skin conductance	-0.1829	-0.903	5	9	14
35	anxiety	-0.3914	0.5664	4	11	14
36	change	0.125	0.4641	3	16	26
37	cognition	-0.8654	-0.3072	2	14	18
38	component	0.3729	0.4413	3	16	20
39	difference	-0.2116	-0.1149	2	16	18
40	eda	0.6443	-0.5868	1	8	9
41	p300	0.7893	0.4205	3	8	11
42	training	-0.0353	0.684	3	17	21
43	amplitude	0.8025	0.6629	3	12	17
44	child	0.4663	-0.6578	1	9	12
45	cortex	1.0564	-0.3015	1	13	20
46	lateral	-1.078	0.0048	2	9	10
47	rat	-1.1065	-0.2521	5	9	16
48	recovery	0.3367	-0.4866	5	13	19
49	stimulus intensity	0.924	-0.0554	1	14	20
50	technique	-0.6036	0.5762	4	13	18
