id	label	x	y	cluster	weight<Links>	weight<Total link strength>
1	erp	-0.1614	-0.259	3	45	197
2	attention	-0.4728	0.2336	4	36	85
3	emotion	-0.3457	0.4644	5	30	68
4	electrophysiological	0.0972	-0.214	4	26	51
5	auditory	-0.8264	-0.7035	4	24	71
6	perception	-0.3334	0.2241	5	26	48
7	cardiovascular	0.4977	0.1808	1	15	26
8	p300	0.6163	-0.8973	1	22	63
9	neural	-0.2523	-0.3481	4	24	44
10	visual	-0.6811	-0.2412	3	25	49
11	memory	-0.2071	-0.4505	4	23	49
12	stress	0.7212	0.1259	1	20	35
13	behavior	0.1516	-0.4357	4	22	46
14	startle	-0.5513	0.7711	5	18	33
15	mmn	-0.6691	-1.0365	4	12	25
16	cognition	0.1418	0.4949	2	25	37
17	scene	-0.4116	0.0572	4	17	28
18	adult	0.8142	-0.3891	1	19	43
19	eeg	-0.4651	-0.2458	3	16	21
20	error	0.7972	0.2311	2	14	21
21	detection	-0.0888	-0.8931	4	17	34
22	human	-0.722	-0.0962	3	20	33
23	function	0.469	0.4272	2	19	26
24	increase	0.6971	0.4187	2	19	26
25	affect	-0.4486	0.6976	5	16	29
26	amplitude	0.9546	-1.0256	1	12	42
27	cue	-1.0767	-0.0435	3	16	30
28	child	0.4567	-0.5986	1	18	34
29	performance	0.4427	-0.0812	1	21	30
30	brain	-0.1369	-0.1007	5	17	23
31	cardiac	0.4538	0.6905	2	17	24
32	component	-0.6888	-0.7873	3	15	27
33	sound	-0.4596	-0.6118	3	16	27
34	time	0.099	0.6657	2	16	21
35	adolescent	1.1097	-0.5967	1	15	42
36	cortex	-0.4781	0.5406	2	17	26
37	depression	0.621	-0.2289	1	16	20
38	mechanism	0.2635	0.3623	2	16	22
39	activation	-0.5407	-0.1362	3	12	14
40	context	0.089	0.0477	4	16	26
41	fear	-0.1831	0.8564	2	15	23
42	healthy	0.3849	0.5281	5	14	20
43	reduce	0.7748	-0.0245	1	20	29
44	sensitivity	0.7306	0.5298	2	14	21
45	age	0.8999	-0.1763	1	15	21
46	impact	0.0579	0.4905	5	16	27
47	inhibition	-0.8511	0.1854	3	15	19
48	paradigm	-1.1978	-0.1077	3	17	29
49	prepulse inhibition	-0.2974	0.8736	5	9	15
50	control	0.2059	0.632	2	15	24
